"","Layout","Spacing","mRB","mRSE","COV","RMSE"
"1","Grid",1,0.00645,0.10444,0.942,2.10076
"2","Grid",1.5,0.00367,0.07935,0.963,1.53037
"3","Grid",2,-0.0104,0.10289,0.958,1.98603
"4","Grid",2.5,-0.02642,0.21203,0.847,4.22773
"5","Circle",1,0.00495,0.08518,0.959,1.67951
"6","Circle",1.5,0.00958,0.08724,0.938,1.86571
"7","Circle",2,-0.0044,0.12224,0.94,2.4649
"8","Circle",2.5,-0.10981,0.13389,0.428,5.10329
"9","Line",1,0.00923,0.09444,0.948,1.92179
"10","Line",1.5,0.00902,0.10221,0.961,2.09308
"11","Line",2,-0.01793,0.12449,0.878,2.78028
"12","Line",2.5,-0.20141,0.11204,0.23069,5.46567
"13","Axis",1,0.0079,0.0887,0.947,1.821
"14","Axis",1.5,0.00572,0.0978,0.948,1.94727
"15","Axis",2,-0.01563,0.13484,0.914,2.6537
"16","Axis",2.5,-0.0697,0.21193,0.587,5.24684
